Name_submitted,Name_matched,Name_matched_rank
Achyrocline elegans,Achyrocline,genus
Arenaria bogotensis,Arenaria,genus
Arthrostylidium latifolia,Arthrostylidium,genus
Asplenium micranthum,Asplenium,genus
Bomarea guadalupe,Bomarea,genus
Bulbostylis tropicalis,Bulbostylis,genus
Calceolaria arvensis,Calceolaria,genus
Calceolaria fisifolia,Calceolaria,genus
Carex peuciphalia,Carex,genus
Ceroxylon andinus,Ceroxylon,genus
Espeletia sumapacensis,Espeletia,genus
Eugenia mirtilloides,Eugenia,genus
Glandularia × hortulanus,Glandularia,genus
Haegiela hyrta,Haegiela,genus
Hymenophyllum aelolium,Hymenophyllum,genus
Lactuca intivea,Lactuca,genus
Lemna spirodela,Lemna,genus
Lycopodium glaucophyllum,Lycopodium,genus
Masdevallia fastigiata,Masdevallia,genus
Myrcia dougandii,Myrcia,genus
Oreopanax caricaefolium,Oreopanax,genus
Passiflora rectangular,Passiflora,genus
Pteridium muricata,Pteridium,genus
Puya incarnata,Puya,genus
Rhynchospora daweana,Rhynchospora,genus
Thunbergia lepidota,Thunbergia,genus
Tripogandra multiflora (Sw.) Raf.,Tripogandra,genus
Pinus bogotense,Pinus,genus
Epidendrum chicoense Hagsater  J.Farfan & E.Santiago,Epidendrum,genus
Ramalina,Radulina,genus
Sticta,Stiftia,genus
Usnea,Ulea,genus
Alstroemeria 'Mirella',Alstroemeria,genus
Plectranthus 'Mona lavender',Plectranthus,genus
Polygala × dalmasiana,Polygala,genus
Pentacalia microchaete,Pentacalia,genus
